Qualified for pricelist >= 2024;Code;Name;Description;LicenseDuration;MaintenanceDuration;ExpectedDeliveryTime;PaymentModel;ExpectedInvoiceDate;GrantOfRights;Profile;MandatoryOptional_ID;LicenseMethod;Cost_Center;Discount_Rate;Operational_Profit_Rate;OperationalProfitType;Perpetual;Support_Hours_Amount;UpdateRight;Apply_Withholding_Tax
yes;1;Dongled License;"- Dongled License (as defined in Elektrobit T&C)
- Including MAINTENANCE (as defined on page ""Definitions"")";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Elektrobit Tooling Licence;License;;FlexNet Publisher Dongle License File;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
yes;2;Floating License;"- Floating License per seat (as defined in Elektrobit T&C)
- Including MAINTENANCE (as defined on page ""Definitions"")";perpetual;12 months;FINALIZED PURCHASE PROCESS + 2 weeks;One-time payment;With FINAL DELIVERY;Elektrobit Tooling Licence;License;;FlexNet Publisher Server Activation Code;6400;10;50;Fix rate;TRUE;;UpdateRightByConfiguration;TRUE
yes;3;Dongled License Support & Maintenance;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing Dongled License (as defined in Elektrobit T&C)";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;FlexNet Publisher Dongle License File;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
yes;4;Floating License Support & Maintenance;"- Extension of MAINTENANCE duration (as defined on page ""Definitions"")
- Valid for existing Floating License per seat (as defined in Elektrobit T&C)";n/a;12 months;n/a;Annual payment;Anually at the beginning of the extended period;n/a;License;;FlexNet Publisher Server Activation Code;6400;10;50;Fix rate;FALSE;;TotalAmountAsUpdateRight;TRUE
;5;Prototyping Project License;Limited development license for one project, one µC derivate, one basic software version, no production license included, can be used for developing prototypes.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;6;Concept License Maintenance;Includes updates, e.g. patches and service release and 40% discount when upgrading to new AUTOSAR version.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
;7;Firmware Support & Maintenance;Extension of firmware updates and patch releases for one year.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;License;;no technical license protection;;10;50;Fix rate;FALSE;;none;TRUE
yes;8;Hardware;"- ELEKTROBIT HARDWARE device
- Specification defined in section ""Products and services""";n/a;n/a;FINALIZED PURCHASE PROCESS + 16 weeks;One-time payment;With FINAL DELIVERY;n/a;Hardware;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
;9;Training (EB AUTOSAR);;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Training;;no technical license protection;6400;10;;Calculated;FALSE;;none;TRUE
;10;"Package ""Basic""";Three months time-limited, 2 full featured licenses for EB tresos Studio and EB tresos AutoCore. Designated engineering services, incl. travel expenses - Germany only.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Product related service without profile;;no technical license protection;;10;;Calculated;FALSE;;none;TRUE
